unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
2908391,HJ579786,2003-08-22 14:32:00+00:00,040XX S LAKE SHORE DR NB,1460,WEAPONS VIOLATION,POSS FIREARM/AMMO:NO FOID CARD,PARK PROPERTY,True,False,2123,2,4,36,15,1184483.0,1878655.0,2003,2018-02-10 15:50:01+00:00,41.822197349,-87.598719198,"(41.822197349, -87.598719198)"
3360,HL632941,2005-09-24 19:26:00+00:00,040XX S LAKE PARK AVE,0110,HOMICIDE,FIRST DEGREE MURDER,CHA APARTMENT,False,False,2123,2,4,36,01A,1183624.0,1878499.0,2005,2019-03-18 16:08:09+00:00,41.821789385,-87.601875318,"(41.821789385, -87.601875318)"
3652118,HK749323,2004-11-13 21:00:00+00:00,057XX N REDWOOD DR,0850,THEFT,ATTEMPT THEFT,PARKING LOT/GARAGE(NON.RESID.),False,False,1614,16,41,10,06,1121601.0,1936877.0,2004,2018-02-28 15:56:25+00:00,41.983210852,-87.828152017,"(41.983210852, -87.828152017)"
5099920,HM701430,2006-11-04 00:00:00+00:00,093XX S SOUTH CHICAGO AVE,1195,DECEPTIVE PRACTICE,FINAN EXPLOIT-ELDERLY/DISABLED,BANK,False,False,424,4,10,48,11,1198039.0,1843718.0,2006,2018-02-28 15:56:25+00:00,41.72599933,-87.550156509,"(41.72599933, -87.550156509)"
5136237,HM569477,2006-08-29 15:12:26+00:00,065XX S KEATING AVE,2091,NARCOTICS,FORFEIT PROPERTY,ALLEY,True,False,833,8,13,64,26,1145837.0,1860886.0,2006,2018-02-28 15:56:25+00:00,41.774255638,-87.740944554,"(41.774255638, -87.740944554)"
5173153,HM766639,2006-12-08 22:30:00+00:00,023XX S CANAL ST,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,False,False,923,9,25,34,02,1173564.0,1888876.0,2006,2018-02-10 15:50:01+00:00,41.850493836,-87.638472536,"(41.850493836, -87.638472536)"
6546362,HP617230,2008-10-09 10:55:00+00:00,050XX N KIMBALL AVE,2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,"SCHOOL, PUBLIC, BUILDING",True,False,1713,17,39,13,18,1152801.0,1933422.0,2008,2018-02-28 15:56:25+00:00,41.973167821,-87.713495268,"(41.973167821, -87.713495268)"
6707989,HR122727,2008-06-01 09:00:00+00:00,029XX S WELLS ST,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,False,False,2113,9,11,34,06,1175099.0,1885310.0,2008,2018-02-10 15:50:01+00:00,41.840674236,-87.632945591,"(41.840674236, -87.632945591)"
6887842,HR292274,2009-04-28 15:15:00+00:00,040XX S DREXEL BLVD,033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,PARK PROPERTY,False,False,2123,2,4,36,03,1182802.0,1878129.0,2009,2018-02-28 15:56:25+00:00,41.820793242,-87.604902321,"(41.820793242, -87.604902321)"
7382155,HS181614,2010-02-26 01:00:00+00:00,022XX S CANAL ST,0865,THEFT,DELIVERY CONTAINER THEFT,OTHER,False,False,923,9,25,34,06,1173544.0,1889599.0,2010,2018-02-10 15:50:01+00:00,41.852478248,-87.638524469,"(41.852478248, -87.638524469)"
8345303,HT579018,2011-11-06 12:00:00+00:00,082XX W HIGGINS RD,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,HOTEL/MOTEL,False,False,1614,16,41,10,02,1120799.0,1937747.0,2011,2016-02-04 06:33:39+00:00,41.98561117,-87.831082925,"(41.98561117, -87.831082925)"
8609402,HV283087,2012-05-12 11:00:00+00:00,042XX S COTTAGE GROVE AVE,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,True,False,214,2,4,36,26,1182317.0,1876886.0,2012,2016-02-04 06:33:39+00:00,41.817393627,-87.606720071,"(41.817393627, -87.606720071)"
11778247,JC373359,2019-08-01 01:20:00+00:00,032XX S WESTERN BLVD,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,VEHICLE NON-COMMERCIAL,True,False,911,9,25,59,24,1160937.0,1883138.0,2019,2019-08-08 16:13:13+00:00,41.835019175,-87.684974872,"(41.835019175, -87.684974872)"
11796841,JC395607,2019-08-16 21:32:00+00:00,042XX S GREENWOOD AVE,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,PARK PROPERTY,True,False,214,2,4,36,24,1184308.0,1876876.0,2019,2019-08-23 16:06:28+00:00,41.817319755,-87.599416931,"(41.817319755, -87.599416931)"
11844866,JC453422,2019-09-29 18:45:00+00:00,042XX S COTTAGE GROVE AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,CTA BUS STOP,False,False,214,2,4,36,14,1182306.0,1877271.0,2019,2019-10-06 16:07:52+00:00,41.818450351,-87.606748479,"(41.818450351, -87.606748479)"
11119446,JA472464,2017-10-15 18:41:00+00:00,030XX E 95TH ST,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,STREET,True,False,424,4,10,48,14,1197999.0,1842542.0,2017,2018-02-10 15:50:01+00:00,41.722773286,-87.55034221,"(41.722773286, -87.55034221)"
2319530,HH609760,2002-08-28 05:30:00+00:00,027XX S PRINCETON AVE,0650,BURGLARY,HOME INVASION,APARTMENT,False,False,2113,9,11,34,05,1174737.0,1886396.0,2002,2018-10-26 16:01:05+00:00,41.843662399,-87.634241544,"(41.843662399, -87.634241544)"
3310877,HK272795,2004-03-30 20:30:00+00:00,082XX W HIGGINS RD,2091,NARCOTICS,FORFEIT PROPERTY,STREET,True,False,1614,16,41,10,26,1120533.0,1937796.0,2004,2018-02-28 15:56:25+00:00,41.985749908,-87.832060227,"(41.985749908, -87.832060227)"
5629610,HN431163,2007-06-26 11:45:00+00:00,020XX S CANAL ST,0880,THEFT,PURSE-SNATCHING,OTHER,False,False,923,9,25,34,06,1173505.0,1890318.0,2007,2018-02-28 15:56:25+00:00,41.854452105,-87.63864626,"(41.854452105, -87.63864626)"
5710337,HN518758,2007-08-09 01:00:00+00:00,082XX S ANTHONY AVE,0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,False,False,414,4,8,45,07,1189770.0,1850700.0,2007,2018-02-28 15:56:25+00:00,41.745361074,-87.580222106,"(41.745361074, -87.580222106)"
6629196,HP700475,2008-11-24 18:45:00+00:00,040XX S ELLIS AVE,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,APARTMENT,False,False,2123,2,4,36,26,1183182.0,1878370.0,2008,2018-02-28 15:56:25+00:00,41.821445714,-87.603500808,"(41.821445714, -87.603500808)"
11864423,JC476069,2019-10-17 12:38:00+00:00,056XX N CUMBERLAND AVE,4651,OTHER OFFENSE,SEX OFFENDER: FAIL REG NEW ADD,HOTEL/MOTEL,False,False,1614,16,41,10,26,1119313.0,1936269.0,2019,2019-10-24 16:04:33+00:00,41.981579153,-87.836580014,"(41.981579153, -87.836580014)"
11954259,JD118864,2020-01-10 14:00:00+00:00,050XX N KIMBALL AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,"SCHOOL, PUBLIC, GROUNDS",False,False,1713,17,39,13,14,1152801.0,1933422.0,2020,2020-01-22 15:50:17+00:00,41.973167821,-87.713495268,"(41.973167821, -87.713495268)"
10207442,HY394691,2015-08-17 21:30:00+00:00,035XX S WESTERN AVE,0340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,SIDEWALK,False,False,911,9,12,59,03,1160939.0,1881245.0,2015,2018-02-10 15:50:01+00:00,41.829824529,-87.685019955,"(41.829824529, -87.685019955)"
10263806,HY451472,2015-09-30 11:30:00+00:00,050XX N KIMBALL AVE,1585,SEX OFFENSE,OTHER,"SCHOOL, PUBLIC, BUILDING",False,False,1713,17,39,13,17,1152801.0,1933422.0,2015,2018-02-10 15:50:01+00:00,41.973167821,-87.713495268,"(41.973167821, -87.713495268)"
10460979,HZ199995,2016-03-24 20:43:00+00:00,035XX S WESTERN AVE,2021,NARCOTICS,POSS: BARBITUATES,STREET,True,False,911,9,12,59,18,1160942.0,1881143.0,2016,2018-02-10 15:50:01+00:00,41.829544567,-87.685011772,"(41.829544567, -87.685011772)"
10514274,HZ256161,2016-04-30 21:00:00+00:00,024XX W 34TH PL,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,False,False,911,9,12,59,02,1160732.0,1881736.0,2016,2018-02-10 15:50:01+00:00,41.831176173,-87.68576586,"(41.831176173, -87.68576586)"
10522527,HZ265028,2016-05-15 01:45:00+00:00,120XX S DOTY AVE W,0454,BATTERY,AGG PO HANDS NO/MIN INJURY,COMMERCIAL / BUSINESS OFFICE,True,False,532,5,9,54,08B,1184127.0,1825103.0,2016,2018-02-10 15:50:01+00:00,41.675253432,-87.601695694,"(41.675253432, -87.601695694)"
10939632,JA255705,2017-03-30 17:00:00+00:00,089XX S DAUPHIN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,633,6,8,47,11,1183790.0,1845723.0,2017,2018-02-10 15:50:01+00:00,41.731845173,-87.602288494,"(41.731845173, -87.602288494)"
11022296,JA352876,2017-07-17 17:00:00+00:00,065XX S KNOX AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,833,8,13,64,11,1146503.0,1860901.0,2017,2018-02-10 15:50:01+00:00,41.774284185,-87.7385027,"(41.774284185, -87.7385027)"
11243078,JB168472,2018-02-28 08:00:00+00:00,047XX S WENTWORTH AVE,0880,THEFT,PURSE-SNATCHING,STREET,False,False,224,2,3,37,06,1175752.0,1873657.0,2018,2018-05-04 15:51:04+00:00,41.808682769,-87.630898966,"(41.808682769, -87.630898966)"
3085750,HJ809396,2003-12-10 08:40:00+00:00,050XX N KIMBALL AVE,141C,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,"SCHOOL, PUBLIC, GROUNDS",False,False,1713,17,39,13,15,1152801.0,1933422.0,2003,2018-02-28 15:56:25+00:00,41.973167821,-87.713495268,"(41.973167821, -87.713495268)"
3138421,HK126722,2004-01-15 12:45:00+00:00,050XX N KIMBALL AVE,0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",True,False,1713,17,39,13,08A,1152801.0,1933422.0,2004,2018-02-10 15:50:01+00:00,41.973167821,-87.713495268,"(41.973167821, -87.713495268)"
3708759,HK813034,2004-12-16 16:00:00+00:00,047XX S WENTWORTH AVE,0340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,CTA PLATFORM,False,False,231,2,3,37,03,1175752.0,1873657.0,2004,2018-02-28 15:56:25+00:00,41.808682769,-87.630898966,"(41.808682769, -87.630898966)"
5362740,HM760032,2006-12-06 19:11:05+00:00,051XX N KIMBALL AVE,2028,NARCOTICS,POSS: SYNTHETIC DRUGS,GAS STATION,True,False,1713,17,39,13,18,1152783.0,1934036.0,2006,2018-02-28 15:56:25+00:00,41.974853031,-87.713545123,"(41.974853031, -87.713545123)"
5742152,HN546390,2007-08-23 17:45:00+00:00,041XX S ELLIS AVE,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,RESIDENCE,True,False,2123,2,4,36,18,1183471.0,1877757.0,2007,2018-02-28 15:56:25+00:00,41.819756858,-87.60245975,"(41.819756858, -87.60245975)"
6476371,HP554029,2008-09-04 19:00:00+00:00,082XX S ANTHONY AVE,0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,False,False,414,4,8,45,07,1189813.0,1850659.0,2008,2018-02-28 15:56:25+00:00,41.745247534,-87.580065864,"(41.745247534, -87.580065864)"
6828952,HR236639,2009-01-05 13:00:00+00:00,005XX W 24TH PL,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,APARTMENT,False,False,923,9,25,34,06,1173039.0,1888011.0,2009,2018-02-28 15:56:25+00:00,41.848131849,-87.640424984,"(41.848131849, -87.640424984)"
7637483,HS441388,2010-08-01 17:00:00+00:00,040XX S ELLIS AVE,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,RESIDENCE,False,True,2123,2,4,36,26,1183238.0,1878253.0,2010,2018-02-10 15:50:01+00:00,41.821123352,-87.603299021,"(41.821123352, -87.603299021)"
8172553,HT138280,2011-01-27 14:00:00+00:00,024XX S CANAL ST,5011,OTHER OFFENSE,LICENSE VIOLATION,COMMERCIAL / BUSINESS OFFICE,False,False,923,9,25,34,26,1173581.0,1888274.0,2011,2018-02-10 15:50:01+00:00,41.848841524,-87.638428023,"(41.848841524, -87.638428023)"
8272163,HT505693,2011-08-26 09:00:00+00:00,051XX N KEDZIE AVE,1110,DECEPTIVE PRACTICE,BOGUS CHECK,SMALL RETAIL STORE,False,False,1713,17,39,13,11,1154109.0,1934143.0,2011,2018-02-10 15:50:01+00:00,41.975120216,-87.708666104,"(41.975120216, -87.708666104)"
8353177,HT587029,2011-11-13 02:40:00+00:00,120XX S DOTY AVE W,0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,OTHER,True,False,532,5,9,54,08A,1184127.0,1825103.0,2011,2016-02-04 06:33:39+00:00,41.675253432,-87.601695694,"(41.675253432, -87.601695694)"
11784954,JC381483,2019-08-06 17:40:00+00:00,001XX W CERMAK RD,2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,SIDEWALK,True,False,131,1,3,34,18,1175994.0,1889765.0,2019,2019-08-13 16:18:46+00:00,41.852879013,-87.629527333,"(41.852879013, -87.629527333)"
11475821,JB474635,2018-10-13 22:28:00+00:00,006XX E 130TH ST,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,STREET,True,False,532,5,9,54,24,1182744.0,1819226.0,2018,2018-10-20 16:16:21+00:00,41.659158194,-87.606938998,"(41.659158194, -87.606938998)"
2153722,HH391231,2002-05-23 14:00:00+00:00,050XX N KIMBALL AVE,2900,WEAPONS VIOLATION,UNLAWFUL USE/SALE AIR RIFLE,"SCHOOL, PUBLIC, BUILDING",True,False,1713,17,39,13,15,1152801.0,1933422.0,2002,2018-02-10 15:50:01+00:00,41.973167821,-87.713495268,"(41.973167821, -87.713495268)"
2241326,HH512389,2002-06-30 12:00:00+00:00,029XX S WELLS ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,False,False,2113,9,11,34,11,1175100.0,1885262.0,2002,2018-10-26 16:01:05+00:00,41.840542498,-87.632943358,"(41.840542498, -87.632943358)"
3357350,HK401177,2004-06-01 10:30:00+00:00,050XX N KIMBALL AVE,0454,BATTERY,AGG PO HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",False,False,1713,17,39,13,08B,1152801.0,1933422.0,2004,2018-02-28 15:56:25+00:00,41.973167821,-87.713495268,"(41.973167821, -87.713495268)"
3812566,HL181477,2005-02-14 19:30:00+00:00,081XX W HIGGINS RD,2850,PUBLIC PEACE VIOLATION,BOMB THREAT,RESTAURANT,False,False,1614,16,41,10,26,1121160.0,1937680.0,2005,2018-02-28 15:56:25+00:00,41.985421498,-87.829756604,"(41.985421498, -87.829756604)"
3914046,HL189200,2005-02-18 19:10:00+00:00,003XX W 26TH ST,1505,PROSTITUTION,CALL OPERATION,STREET,True,False,2113,9,11,34,16,1174245.0,1887049.0,2005,2018-02-10 15:50:01+00:00,41.845465258,-87.636027609,"(41.845465258, -87.636027609)"
5148880,HM745546,2006-07-28 13:00:00+00:00,082XX W HIGGINS RD,1110,DECEPTIVE PRACTICE,BOGUS CHECK,RESTAURANT,False,False,1614,16,41,10,11,1120713.0,1937763.0,2006,2018-02-10 15:50:01+00:00,41.985656459,-87.831398891,"(41.985656459, -87.831398891)"
5271064,HN141036,2007-01-23 23:30:00+00:00,003XX W 29TH ST,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,OTHER,False,False,2113,9,11,34,14,1174298.0,1885463.0,2007,2018-02-28 15:56:25+00:00,41.841111967,-87.635880373,"(41.841111967, -87.635880373)"
5488673,HN308850,2007-04-27 16:15:00+00:00,026XX S STEWART AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,VACANT LOT/LAND,False,False,2113,9,11,34,14,1174107.0,1886842.0,2007,2018-02-10 15:50:01+00:00,41.844900307,-87.636540214,"(41.844900307, -87.636540214)"
5731467,HN541029,2007-08-20 21:58:00+00:00,030XX E 95TH ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,VEHICLE NON-COMMERCIAL,True,False,424,4,10,48,18,1197893.0,1842539.0,2007,2018-02-28 15:56:25+00:00,41.722767699,-87.550730567,"(41.722767699, -87.550730567)"
6220697,HP307122,2008-04-29 11:57:29+00:00,050XX N KIMBALL AVE,2850,PUBLIC PEACE VIOLATION,BOMB THREAT,"SCHOOL, PUBLIC, BUILDING",False,False,1713,17,39,13,26,1152801.0,1933422.0,2008,2018-02-28 15:56:25+00:00,41.973167821,-87.713495268,"(41.973167821, -87.713495268)"
6538896,HP612657,2008-10-06 20:00:00+00:00,059XX S MOODY AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,False,False,811,8,23,64,06,1136406.0,1864671.0,2008,2018-02-28 15:56:25+00:00,41.784815438,-87.775427582,"(41.784815438, -87.775427582)"
7446701,HS247706,2010-03-31 15:27:00+00:00,042XX S OAKENWALD AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,False,False,2123,2,4,36,11,1184689.0,1876983.0,2010,2018-02-10 15:50:01+00:00,41.817604432,-87.598015977,"(41.817604432, -87.598015977)"
8535066,HV211750,2012-03-22 16:00:00+00:00,082XX S EAST END AVE,0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",RESIDENCE,False,False,414,4,8,45,07,1189031.0,1850613.0,2012,2016-02-04 06:33:39+00:00,41.745140055,-87.582932667,"(41.745140055, -87.582932667)"
9002444,HW149394,2013-02-08 15:01:00+00:00,081XX S SOUTH CHICAGO AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,"SCHOOL, PUBLIC, GROUNDS",False,False,414,4,8,45,26,1190162.0,1851155.0,2013,2018-02-10 15:50:01+00:00,41.746600212,-87.578771154,"(41.746600212, -87.578771154)"
8607019,HV280576,2007-10-29 09:00:00+00:00,079XX W BERWYN AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,False,False,1614,16,41,10,06,,,2007,2015-08-17 15:03:40+00:00,,,
11615962,JC176879,2017-03-12 09:00:00+00:00,041XX S MARYLAND AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,214,2,4,36,11,,,2017,2019-03-08 16:36:43+00:00,,,
10198333,HY386003,2013-08-17 00:00:00+00:00,065XX S KNOX AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,833,8,13,64,11,1146506.0,1860766.0,2013,2018-02-10 15:50:01+00:00,41.773913666,-87.738495125,"(41.773913666, -87.738495125)"
10458491,HZ197704,2016-03-21 09:30:00+00:00,050XX N KIMBALL AVE,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,"SCHOOL, PUBLIC, GROUNDS",True,False,1713,17,39,13,18,1152801.0,1933422.0,2016,2018-02-10 15:50:01+00:00,41.973167821,-87.713495268,"(41.973167821, -87.713495268)"
10611949,HZ364888,2016-07-25 21:00:00+00:00,039XX S LAKE PARK AVE,0880,THEFT,PURSE-SNATCHING,SIDEWALK,False,False,214,2,4,36,06,1183292.0,1879180.0,2016,2018-02-10 15:50:01+00:00,41.823665846,-87.603072021,"(41.823665846, -87.603072021)"
10921647,JA235467,2017-04-22 23:45:00+00:00,047XX S WENTWORTH AVE,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,False,False,224,2,3,37,04B,1175758.0,1873500.0,2017,2018-02-10 15:50:01+00:00,41.808251811,-87.630881666,"(41.808251811, -87.630881666)"
11200805,JB111583,2017-11-19 09:00:00+00:00,079XX W SEMINOLE ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,1614,16,41,10,11,1122085.0,1936822.0,2017,2018-02-10 15:50:01+00:00,41.983052079,-87.826373114,"(41.983052079, -87.826373114)"
2448334,HH771950,2002-11-11 04:00:00+00:00,040XX S ELLIS AVE,0650,BURGLARY,HOME INVASION,RESIDENCE,False,False,2123,2,4,36,05,1183238.0,1878253.0,2002,2018-02-28 15:56:25+00:00,41.821123352,-87.603299021,"(41.821123352, -87.603299021)"
2570642,HJ159405,2002-12-18 20:00:00+00:00,028XX S WENTWORTH AVE,1205,DECEPTIVE PRACTICE,"THEFT BY LESSEE,NON-VEH",SMALL RETAIL STORE,False,False,2113,9,11,34,11,1175410.0,1885893.0,2002,2018-10-26 16:01:05+00:00,41.842267069,-87.631786874,"(41.842267069, -87.631786874)"
3637159,HK730777,2004-11-04 14:25:00+00:00,029XX S WELLS ST,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENTIAL YARD (FRONT/BACK),False,False,2113,9,11,34,05,1175099.0,1885284.0,2004,2018-02-28 15:56:25+00:00,41.84060289,-87.632946369,"(41.84060289, -87.632946369)"
5897633,HN694374,2007-09-10 08:00:00+00:00,055XX N CUMBERLAND AVE,1140,DECEPTIVE PRACTICE,EMBEZZLEMENT,OTHER,True,False,1614,16,41,10,12,1119316.0,1935673.0,2007,2018-02-28 15:56:25+00:00,41.979943613,-87.836581692,"(41.979943613, -87.836581692)"
6613186,HP677296,2008-11-08 13:30:00+00:00,055XX N CUMBERLAND AVE,0479,BATTERY,AGG: HANDS/FIST/FEET SERIOUS INJURY,COMMERCIAL / BUSINESS OFFICE,False,False,1614,16,41,10,04B,1119316.0,1935698.0,2008,2018-02-28 15:56:25+00:00,41.980012216,-87.836581159,"(41.980012216, -87.836581159)"
7371053,HS170247,2010-02-18 11:00:00+00:00,041XX S DREXEL BLVD,0484,BATTERY,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",True,False,2123,2,4,36,08B,1182970.0,1877499.0,2010,2018-02-10 15:50:01+00:00,41.819060566,-87.604305634,"(41.819060566, -87.604305634)"
7588711,HS392874,2010-07-03 22:45:00+00:00,003XX W 28TH PL,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,CHA PARKING LOT/GROUNDS,False,False,2113,9,11,34,04A,1174273.0,1885990.0,2010,2018-02-10 15:50:01+00:00,41.842558654,-87.635956411,"(41.842558654, -87.635956411)"
8594572,HV268673,2012-05-02 21:43:00+00:00,032XX S WESTERN AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,OTHER,True,False,911,9,12,59,14,1160875.0,1882808.0,2012,2016-02-04 06:33:39+00:00,41.834114902,-87.685211505,"(41.834114902, -87.685211505)"
